id,name,tier,parentCondition,advancesTo,downgradesTo,description,effectsMechanical,hpChangePerRound,attackModifier,saveModifier,abilityModifiers,actionRestrictions,movementRestrictions,missChance,tacModifier,durationRule,resolutionRule,skillCheckRule,magicInteraction,notes,archetype
bleeding,Bleeding,1,bleed,gushing,none,"Bleeding: Lose 1 HP per round per Bleed DMG until treated
Res.: Skill check (+1 DIF if performed on self), any magic that heals HP",Takes bleed damage each round,-1,0,0,none,none,none,0,0,untilResolved,skillCheck,repeatedChecks,healStepsDown,Two consecutive checks needed to fully resolve chain,
gushing,Gushing,2,bleed,none,bleeding,"Gushing: Lose 2 HP per round with heavy bleeding, persists until skill-check treatment, and must downgrade to Bleeding before ending.
Res.: Skill check (+1 DIF if performed on self), any magic that heals HP reduces to Bleeding",Heavy bleed and weakened toughness,-2,0,-1,none,none,none,0,0,untilResolved,skillCheck,repeatedChecks,healStepsDown,Must downgrade to Bleeding before ending,
dying,Dying / Unconscious,1,dying,none,none,"At 0 HP and losing HP each round, cannot act or move, and ends only by stabilization or healing (death at negative HP threshold).",Loses HP until stabilized,formula,0,0,none,cannotAct,cannotMove,0,0,untilResolved,stabilize,stabilizeCheck,healEnds,Death at (STR+END)×-1 HP,
fuzzy,Fuzzy,1,vision,blinded,none,"Fuzzy: PER −2, 25% miss chance, TAC −1
Res.: Skill check (+1 DIF if performed on self), any magic that heals HP, or 4 rounds without further eye injury",Reduced accuracy and perception,0,0,0,PER:-2,none,none,25,-1,timedStepDown,timedRecovery,selfPlus1,magicMayResolve,,
blinded,Blinded,2,vision,none,fuzzy,"Blinded: PER −4, 50% miss chance, TAC −2
Res.: Skill check (+1 DIF if performed on self), any magic that heals HP, or 4 rounds without further eye injury steps to Fuzzy",Major perception and accuracy penalty,0,0,0,PER:-4,none,none,50,-2,timedStepDown,timedRecovery,selfPlus1,magicMayResolve,,
hidden,Hidden,1,stealth,none,none,"Hidden: Gain +2 attack and enables sneak attacks, lasts while concealed, ends when revealed or interacting.",Bonus to hit and enables sneak attacks,0,2,0,none,none,none,0,0,sourceDependent,revealEnds,none,none,Ends when exposed or interacting,
poisoned,Poisoned,1,poison,none,none,"Variable damage and penalties by poison type, lasts per poison rules, ends by saves or antidote.",Effects vary by poison,variable,variable,variable,variable,variable,variable,0,0,poisonDefined,poisonDefined,poisonDefined,poisonDefined,Uses poison archetype tables,
prone,Prone,1,prone,none,none,"Prone: Knocked down with mobility limits and TAC shift
Res.: Large Action to stand",Standing requires effort; defense shifts,0,0,0,none,standRequiresLA,limitedMobility,0,0,untilResolved,standEnds,none,none,TAC shifts handled in combat logic,
shaken,Shaken,1,fear,frightened,none,"Shaken: −1 to rolls, persists while the fear source remains, steps down when the source is removed.",Minor penalties to rolls,0,-1,-1,none,none,none,0,0,sourceDependent,sourceRemoved,fearStepDown,magicMayResolve,,
frightened,Frightened,2,fear,horrified,shaken,"Frightened: −2 to rolls and cannot act, immobilized by fear, steps down when the source is removed.",Moderate penalties and immobilized,0,-2,-2,none,cannotAct,cannotMove,0,0,sourceDependent,sourceRemoved,fearStepDown,magicMayResolve,Takes cover automatically,
horrified,Horrified,3,fear,none,frightened,"Horrified: Forced to flee the fear source, persists while exposed, downgrades as fear subsides.",Forced fleeing from source,0,0,0,none,none,mustFlee,0,0,sourceDependent,sourceRemoved,fearStepDown,magicMayResolve,Flee direction rolled randomly,
winded,Winded,1,winded,none,none,"Winded: No Large Actions and only one Small Action
Res.: Skill check (+1 DIF if performed on self), any magic that heals HP , short or long rest",Restricted action economy,0,0,0,none,noLargeActions;oneSmallAction,limitedMobility,0,0,restOrTreatment,restEnds,selfPlus1,magicMayResolve,,
poison_neurotoxin,Poisoned: Neurotoxin,1,Poisoned,,,"−2 AGI, −1 Dodge; fail by 5+ Slowed (1 SA); Toughness save; 1 min per failed save; ends on successful save, antivenom, or magic.",−2 AGI; −1 Dodge; fail by 5+: Slowed (1 SA only),0,0,−1 Dodge,AGI −2,Slowed on fail by 5+,Speed limited while Slowed,0,0,1 min per failed save,Ends on successful Toughness save,Toughness,Antivenom; Magic,Nervous system toxin,Neurotoxin
poison_hemophilia,Poisoned: Hemophilia,1,Poisoned,Bleeding → Gushing,,"Damage causes Bleeding and upgrades to Gushing; no natural healing; Toughness save; lasts until removed; ends with save, medicine, or magic.",Damage causes Bleeding; Bleeding upgrades to Gushing; no natural healing,0,0,0,,Natural healing disabled,,0,0,Until removed,Ends on successful Toughness save or treatment,Toughness,Medicine; Magic,Bleeding poison,Hemophilia
poison_hallucinogen,Poisoned: Hallucinogen,1,Poisoned,Frightened,,"−2 PER, −2 skills; fail by 5+ Frightened; Resist save; 10 min per failed save; ends on save or time.",−2 PER; −2 skills; fail by 5+: Frightened,0,−2,0,PER −2,,,0,0,10 min per failed save,Ends on successful Resist save or time,Resist,Time; Magic,Perception distortion,Hallucinogen
poison_paralytic,Poisoned: Paralytic,1,Poisoned,Prone,,"No Large Actions, speed 0; fail by 5+ Prone; Toughness save; 1 min per failed save; ends on save, medicine, or magic.",No Large Actions; fail by 5+: Prone,0,0,0,,Cannot take Large Actions,Speed 0,0,0,1 min per failed save,Ends on successful Toughness save,Toughness,Medicine; Magic,Muscle lock toxin,Paralytic
poison_toxic,Poisoned: Toxic,1,Poisoned,,,"Ongoing body damage; fail by 5+ Stopped (Encumbered); Toughness save; 1 min per failed save; ends on save, medicine, or magic.",Ongoing body damage; fail by 5+: Stopped (Encumbered),variable,0,0,,Encumbered on fail by 5+,Movement limited while Stopped,0,0,1 min per failed save,Ends on successful Toughness save,Toughness,Medicine; Magic,Body damage toxin,Toxic
poison_sedative,Poisoned: Sedative,1,Poisoned,Unconscious,,"−2 STR, −2 END; fail by 5+ Unconscious 1d3 rounds; Toughness save; 10 min per failed save; ends on save, medicine, or magic.",−2 STR; −2 END; fail by 5+: Unconscious 1d3 rounds,0,0,0,STR −2; END −2,Lethargic while active,,0,0,10 min per failed save,Ends on successful Toughness save,Toughness,Medicine; Magic,Sedation toxin,Sedative
