id,name,class,level,complexity,effectText,targetConstraints,alwaysHits,attackRollFormula,saveType,saveFormula,saveOutcome,damageFormula,damageType,appliesCondition,conditionDuration,duration,rangeFormula,targetType,areaShape,areaSizeFormula,statModifiers,components,specialRules,notes,schema
abracadabra_can,Abracadabra,CAN,1,S,Visible magic glows; focusing reveals more detail at 1/2/3 rounds,visibleWithinRange,FALSE,,,,,,,,,other,60@ft,area,none,none,,,revealProgression:1round/2round/3round,Duration handled in specialRules,Each row = 1 spell.
acid_can,Acid,CAN,1,S,"An orb of acid appears and flies at the target, which must be seen by the caster",visibleTarget,TRUE,,dodge,DC10+LVL,half,LVL+2,acid,,,instant,20+LVL*5@ft,one,none,none,,,,Always hits per source,Blank cell = field unused.
alakahzam_can,Alakahzam,CAN,1,S,Minor tricks: lift/move ≤1 lb; clean/soil 1 ft area; chill/heat/flavor liquid; changes persist up to 1 hour,,FALSE,,,,,,,,,other,20@ft,area,none,none,,,weightLimit:1lb;areaLimit:1ft;maxPersistence:1@hour,,"damageType ""none"" = non-elemental damage only (requires damageFormula)."
aloft_wiz_2,Aloft,WIZ,2,S,Target lifted and held above ground,visibleTarget,FALSE,,,,,,,,,LVL@round,20+LVL*5@ft,one,none,none,,,,,
anatomical_error_war_3,Anatomical Error,WAR,3,S,Internal anatomy misaligns causing severe trauma,visibleTarget,FALSE,,resist,DC13+LVL,half,LVL*2,none,,,instant,25+LVL*5@ft,one,none,none,,,,Damage type not specified in provided text,Required fields:
arcane_malediction_war_2,Arcane Malediction,WAR,2,S,Malignant curse twists fate against target,visibleTarget,FALSE,,resist,DC12+LVL,negates,,,,,LVL@min,25+LVL*5@ft,one,none,none,,,,,"id,name,class,level,type,complexity,effectText,targetConstraints,alwaysHits,duration,rangeFormula,targetType"
arcane_malediction_wiz_3,Arcane Malediction,WIZ,3,C,Powerful curse inflicts lasting misfortune,visibleTarget,FALSE,,resist,DC13+LVL,negates,,,,,LVL@min,25+LVL*5@ft,one,none,none,,Ash or Chalk Mark;Spoken Phrase,,,
arcane_oil_wiz_1,Arcane Oil,WIZ,1,S,Surface becomes dangerously slick/unstable,areaTargets,FALSE,,dodge,DC12+LVL,negates,,,prone,LVL@round,LVL@round,5+LVL*5@ft,area,square,5+LVL*5@ft,,,createsHazard:TRUE,Save outcome is “Dodge” in text; effect implies fall prone,Save rule:
be_still_pri_3,Be Still,PRI,3,C,Locks target’s body in place,visibleTarget,FALSE,,resist,DC13+LVL,negates,,,,,LVL@round,25+LVL*5@ft,one,none,none,,Holy Symbol;Holy Book Page,deity:Abraxis;Baphomet;Balangao;Halphas;Hastur;Khione;Nyogtha;Quirinus;The Bloom;Utu,,If saveType is present → saveFormula + saveOutcome required.
blinded_by_the_light_wiz_1,Blinded by the Light,WIZ,1,C,Psychedelic light blinds opponent,visibleTarget,FALSE,,dodge,DC12+LVL,negates,,,blinded,LVL@round,LVL@round,10+LVL*5@ft,area,cone,10+LVL*5@ft,,1 Ergot Rye Stalk,,,If no saveType → all save fields blank.
