id,name,alignment,theme,description,priestSpells,primordial,primordialNote
abad,Abaddon,"Indifferent, Evil",Destruction and inevitable collapse,"A god of destruction, ruin, and the annihilation that follows inevitable collapse.",CAN:Sounds of Saturn (Dread)|CAN:Sounds of Saturn (Whisper)|PRI1:Marked by the Divine|PRI1:Slow Death,FALSE,
abra,Abraxis,Indifferent,"Origin, causation, layered truth","A god of origin, cosmic causality, and the first divine force to emerge after the Primordial gods.",CAN:Abracadabra|PRI1:Marked by the Divine|PRI1:Voice From Above,FALSE,
bala,Balangao,Any,"Battle, valor, passage of warriors","A god of battle, valor, and the honored passage of warriors from life into death.",CAN:Resist|PRI1:Marked by the Divine|PRI1:Voice From Above,FALSE,
baph,Baphomet,Evil,Deception and inverted belief,"A god of deception, false salvation, and the corruption of belief through inversion and mockery.",CAN:Alakahzam|PRI1:Voice From Above|PRI1:Slow Death,FALSE,
dive,Div-e Sepid,"Indifferent, Evil",Sorcery and forbidden mastery,"A god of sorcery, forbidden knowledge, and the dangers of power pursued without restraint.",CAN:Abracadabra|PRI1:Voice From Above|PRI1:Marked by the Divine,FALSE,
halp,Halphas,Indifferent,Warcraft and preparation,"A god of warcraft, weapons, and the cold preparation that makes violence inevitable.",CAN:Hand of Uri|PRI1:Marked by the Divine|PRI1:Minor Heal,FALSE,
hast,Hastur,Any,Corrupted art and madness,"A Primordial god of forbidden knowledge, corrupted art, and madness that spreads through symbols, stories, and performance.",CAN:Sounds of Saturn (Dread)|CAN:Sounds of Saturn (Whisper)|PRI1:Voice From Above|PRI1:Slow Death,TRUE,Primordials are deities that predate gods and morals. They do not recognize the concept of good or evil.
khio,Khione,"Good, Indifferent","Cold, endurance, preservation","A god of cold, endurance, and preservation.",CAN:Ice|PRI1:Minor Heal|PRI1:Slow Death,FALSE,
lave,Laverna,"Indifferent, Evil","Theft, secrecy, survival","A god of theft, deception, and survival through cunning rather than force.",CAN:Make Wind|PRI1:Slow Death|PRI1:Minor Heal,FALSE,
lill,Lillith,Any,Autonomy and power without permission,"A god of autonomy, forbidden knowledge, and power claimed through rejection of imposed order.",CAN:Alakahzam|PRI1:Voice From Above|PRI1:Marked by the Divine,FALSE,
nyog,Nyogtha,Any,Abyssal depths and erasure,"A Primordial god of abyssal depths, formless existence, and the terror of things that should not exist.",CAN:Deluge|PRI1:Slow Death|PRI1:Voice From Above,TRUE,Primordials are deities that predate gods and morals. They do not recognize the concept of good or evil.
quir,Quirinus,Good,Civic unity and collective order,"A god of civic duty, collective strength, and the protection of society through unity and discipline.",CAN:Resist|PRI1:Marked by the Divine|PRI1:Minor Heal,FALSE,
blom,The Bloom,Any,"Nature, renewal, persistence of life","A god of nature, renewal, and the inevitable persistence of life.",CAN:Glow|PRI1:Minor Heal|PRI1:Slow Death,FALSE,
utug,Utu,"Good, Indifferent","Truth, justice, revealed judgment","A god of justice, truth, and judgment revealed through light.",CAN:Glow|PRI1:Voice From Above|PRI1:Marked by the Divine,FALSE,
ygol,Y’golonac,Any,Corruption and transgression,"A Primordial god of corruption, transgression, and the deliberate violation of physical and social boundaries.",CAN:Acid|PRI1:Slow Death|PRI1:Voice From Above,TRUE,Primordials are deities that predate gods and morals. They do not recognize the concept of good or evil.
zvil,Zvilpogghua,Any,Endless hunger and consumption,"A Primordial god of endless hunger, cosmic consumption, and the erasure of meaning through appetite.",CAN:Deluge|PRI1:Slow Death|PRI1:Minor Heal,TRUE,Primordials are deities that predate gods and morals. They do not recognize the concept of good or evil.
